,Boroughs,NEET_rate,Percentage_of economically_active_with_NVQ4,Job_density,Benefit_claimants_rate,A_grade_passes_rate,Number_of_state_funded_school,Percentage_of_children_in_Poverty
E09000002,Barking and Dagenham,6.9,33.8,0.44,17.2,15.09067358,56,35.30%
E09000003,Barnet,3.6,53.2,0.61,9.3,33.47561764,109,21.20%
E09000004,Bexley,4.6,30.5,0.53,9.9,22.7717535,73,20.00%
E09000005,Brent,5,31,0.54,12.4,27.07560628,74,29.50%
E09000006,Bromley,4.3,41,0.61,9,27.07309079,91,17.50%
E09000007,Camden,6.4,63.5,1.97,12.4,22.02505219,50,34.20%
E09000008,Croydon,6.6,45.1,0.58,12.2,14.17298938,105,25.70%
E09000009,Ealing,4.4,46.7,0.55,11.4,27.58098698,78,26.10%
E09000010,Enfield,5.8,43.9,0.56,14.4,25.11537527,83,33.70%
E09000011,Greenwich,6.2,42.2,0.49,13.9,12.96180338,77,30.90%
E09000012,Hackney,6.2,49.8,0.58,16.6,18.45204711,65,36.60%
E09000013,Hammersmith and Fulham,5.2,59.9,1.03,12,21.07490478,43,31.10%
E09000014,Haringey,6.6,51.2,0.4,15.3,22.43141474,76,33.00%
E09000015,Harrow,2.7,39.9,0.5,8.3,25.14806378,60,21.20%
E09000016,Havering,4,22.3,0.55,10.3,16.3125,77,20.10%
E09000017,Hillingdon,4.6,29.5,1.08,9.6,21.52759613,83,23.70%
E09000018,Hounslow,4.6,38.5,0.83,10.1,21.69054441,70,25.70%
E09000019,Islington,6.2,69.4,1.32,15.5,15.0751333,54,40.90%
E09000020,Kensington and Chelsea,5.3,64.4,1.11,10.1,31.00820633,31,25.10%
E09000021,Kingston upon Thames,3.1,59.7,0.78,6.3,33.95910158,44,15.00%
E09000022,Lambeth,7.4,62.3,0.68,13.9,15.83552056,74,32.70%
E09000023,Lewisham,4.7,55.4,0.38,14.9,13.74067699,80,31.70%
E09000024,Merton,5.5,54.8,0.57,8,23.32613391,51,18.30%
E09000025,Newham,6.4,37.1,0.38,13.5,15.03531786,81,34.30%
E09000026,Redbridge,4.1,41.9,0.43,10.4,25.33107484,69,25.00%
E09000027,Richmond upon Thames,3.8,59.6,0.68,5.8,15.71146245,48,10.50%
E09000028,Southwark,8.4,57.3,1.09,14.1,20.51056338,85,31.40%
E09000029,Sutton,4.2,40.6,0.59,8.7,41.27212845,55,17.40%
E09000030,Tower Hamlets,5.3,52.2,1.22,14.4,12.6946673,84,45.90%
E09000031,Waltham Forest,4.2,37.1,0.38,13.3,12.40330067,67,30.40%
E09000032,Wandsworth,4.5,70,0.52,8.5,21.25445084,67,22.40%
E09000033,Westminster,4.1,68.1,0.43,11.9,23.51521004,48,36.00%
,city of london,0.2,,18.16,4.4,,,19.00%